Menu Type,Menu Depth,Menu Breadth,Target Item
Radial,1,4,Clothing
Radial,1,4,Animals
Radial,1,4,Continents
Radial,2,4,Hats
Radial,2,4,Meat
Radial,2,4,Asia
Radial,3,4,Jeans
Radial,3,4,Celery
Radial,3,4,Parrot
Radial,1,6,Clothing
Radial,1,6,Sports
Radial,1,6,Pokemon
Radial,2,6,Hats
Radial,2,6,Amphibians
Radial,2,6,Racquet
Radial,3,6,Jeans
Radial,3,6,Butterfly
Radial,3,6,Pikachu
Marking,1,4,Clothing
Marking,1,4,Animals
Marking,1,4,Continents
Marking,2,4,Hats
Marking,2,4,Meat
Marking,2,4,Asia
Marking,3,4,Jeans
Marking,3,4,Celery
Marking,3,4,Parrot
Marking,1,6,Clothing
Marking,1,6,Sports
Marking,1,6,Pokemon
Marking,2,6,Hats
Marking,2,6,Amphibians
Marking,2,6,Racquet
Marking,3,6,Jeans
Marking,3,6,Butterfly
Marking,3,6,Pikachu